summary_date,site,no_davg,name,obs_count,units 
2001-12-24,2596,0.010,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2001-12-24,2266,0.014,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2001-12-24,2221,0.017,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2001-12-24,2485,0.016,Upland,23,Parts Per Million ( ppm ) 
2001-12-24,2965,0.025,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,2671,0.010,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2001-12-24,2321,0.015,Morro Bay,23,Parts Per Million ( ppm ) 
2001-12-24,3251,0.004,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2001-12-24,2709,0.022,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2001-12-24,3003,0.000,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2001-12-24,2008,0.002,El Capitan Beach,23,Parts Per Million ( ppm ) 
2001-12-24,2954,0.001,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2001-12-24,3153,0.006,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2001-12-24,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2001-12-24,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2001-12-24,2360,0.010,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2001-12-24,2957,0.000,Paradise Road-Los Padres National Forest,22,Parts Per Million ( ppm ) 
2001-12-24,3486,0.008,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2001-12-24,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2001-12-24,2991,0.000,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2001-12-24,3172,0.006,Ojai-Ojai Avenue,22,Parts Per Million ( ppm ) 
2001-12-24,2880,0.005,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2001-12-24,2984,0.001,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2001-12-24,2756,0.000,Ventura County-W Casitas Pass Road,22,Parts Per Million ( ppm ) 
2001-12-24,2088,0.005,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
