summary_date,site,ozone_davg,name,obs_count,units 
2011-06-16,2410,0.026,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2011-06-16,3026,0.049,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2011-06-16,3009,0.048,Fresno-1st Street,19,Parts Per Million ( ppm ) 
2011-06-16,2013,0.051,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2011-06-16,2844,0.047,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2011-06-16,2114,0.044,Parlier,19,Parts Per Million ( ppm ) 
2011-06-16,3759,0.047,Tranquility-32650 West Adams Avenue,22,Parts Per Million ( ppm ) 
2011-06-16,3758,0.046,Arvin-Di Giorgio,23,Parts Per Million ( ppm ) 
2011-06-16,3146,0.043,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,2312,0.053,Edison,23,Parts Per Million ( ppm ) 
2011-06-16,2919,0.057,Maricopa-Stanislaus Street,23,Parts Per Million ( ppm ) 
2011-06-16,2772,0.050,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2011-06-16,2981,0.042,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2011-06-16,3129,0.052,Hanford-S Irwin Street,22,Parts Per Million ( ppm ) 
2011-06-16,3771,0.040,Madera-28261 Avenue 14,23,Parts Per Million ( ppm ) 
2011-06-16,3211,0.044,Madera-Pump Yard,22,Parts Per Million ( ppm ) 
2011-06-16,3022,0.042,Merced-S Coffee Avenue,22,Parts Per Million ( ppm ) 
2011-06-16,2094,0.035,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2011-06-16,3696,0.052,Tracy-Airport,22,Parts Per Million ( ppm ) 
2011-06-16,2833,0.038,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2011-06-16,2996,0.044,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2011-06-16,3763,0.055,Porterville-1839 Newcomb Street,23,Parts Per Million ( ppm ) 
2011-06-16,3484,0.071,Sequoia and Kings Canyon Natl Park,24,Parts Per Million ( ppm ) 
2011-06-16,3036,0.066,Sequoia Natl Park-Lower Kaweah,24,Parts Per Million ( ppm ) 
2011-06-16,2032,0.047,Visalia-N Church Street,22,Parts Per Million ( ppm ) 
2011-06-16,3135,0.046,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2011-06-16,2551,0.066,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2011-06-16,3186,0.038,Niland-English Road,23,Parts Per Million ( ppm ) 
2011-06-16,3143,0.057,Westmorland-W 1st Street,23,Parts Per Million ( ppm ) 
2011-06-16,2878,0.065,Indio-Jackson Street,23,Parts Per Million ( ppm ) 
2011-06-16,2199,0.061,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2011-06-16,2115,0.036,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,3491,0.047,Paradise-4405 Airport Road,23,Parts Per Million ( ppm ) 
2011-06-16,2744,0.041,Colusa-Sunrise Blvd,23,Parts Per Million ( ppm ) 
2011-06-16,3714,0.044,Willows-720 N Colusa Street,23,Parts Per Million ( ppm ) 
2011-06-16,2891,0.045,Auburn-Dewitt-C Avenue,24,Parts Per Million ( ppm ) 
2011-06-16,2956,0.038,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2011-06-16,2977,0.036,Elk Grove-Bruceville Road,24,Parts Per Million ( ppm ) 
2011-06-16,3187,0.044,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2011-06-16,2123,0.037,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2011-06-16,2731,0.033,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
