summary_date,site,no_davg,name,obs_count,units 
2001-04-05,2040,0.009,San Diego-Overland Avenue,22,Parts Per Million ( ppm ) 
2001-04-05,2293,0.022,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2001-04-05,3490,0.028,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,2804,0.002,Bethel Island Road,23,Parts Per Million ( ppm ) 
2001-04-05,2831,0.009,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2001-04-05,2102,0.003,Pittsburg-10th Street,21,Parts Per Million ( ppm ) 
2001-04-05,3207,0.003,San Pablo-El Portal,23,Parts Per Million ( ppm ) 
2001-04-05,2622,0.023,San Rafael,23,Parts Per Million ( ppm ) 
2001-04-05,2655,0.015,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,2373,0.005,San Francisco-Arkansas Street,22,Parts Per Million ( ppm ) 
2001-04-05,2125,0.012,Redwood City,23,Parts Per Million ( ppm ) 
2001-04-05,2413,0.013,San Jose-4th Street,22,Parts Per Million ( ppm ) 
2001-04-05,2410,0.011,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2001-04-05,2105,0.016,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2001-04-05,3026,0.003,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,3009,0.002,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2001-04-05,2013,0.003,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2001-04-05,2844,0.001,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2001-04-05,2941,0.000,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2001-04-05,3146,0.007,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,3145,0.001,Bakersfield-Golden State Highway,23,Parts Per Million ( ppm ) 
2001-04-05,2312,0.003,Edison,23,Parts Per Million ( ppm ) 
2001-04-05,2772,0.002,Oildale-3311 Manor Street,22,Parts Per Million ( ppm ) 
2001-04-05,2981,0.006,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2001-04-05,3129,0.003,Hanford-S Irwin Street,23,Parts Per Million ( ppm ) 
2001-04-05,3211,0.001,Madera-Pump Yard,23,Parts Per Million ( ppm ) 
2001-04-05,2094,0.013,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2001-04-05,3159,0.002,Tracy-24371 Patterson Pass Road,23,Parts Per Million ( ppm ) 
