summary_date,site,co_davg,name,obs_count,units 
2012-08-25,3690,0.339,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
2012-08-25,3247,0.139,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2012-08-25,3742,0.338,Oakland-West,23,Parts Per Million ( ppm ) 
2012-08-25,2804,0.301,Bethel Island Road,23,Parts Per Million ( ppm ) 
2012-08-25,2831,0.280,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2012-08-25,3668,0.303,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2012-08-25,2622,0.280,San Rafael,23,Parts Per Million ( ppm ) 
2012-08-25,2655,0.352,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2012-08-25,2373,0.315,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2012-08-25,2125,0.286,Redwood City,23,Parts Per Million ( ppm ) 
2012-08-25,3770,0.339,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
2012-08-25,3661,0.210,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2012-08-25,2410,0.318,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2012-08-25,2105,0.353,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2012-08-25,3026,0.223,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2012-08-25,2013,0.323,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2012-08-25,2844,0.232,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2012-08-25,3787,0.210,Bakersfield-Municipal Airport,21,Parts Per Million ( ppm ) 
2012-08-25,2094,0.135,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2012-08-25,2833,0.196,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2012-08-25,2996,0.318,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2012-08-25,3135,0.196,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2012-08-25,2551,0.000,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2012-08-25,2199,0.161,Palm Springs-Fire Station,22,Parts Per Million ( ppm ) 
2012-08-25,2123,0.235,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2012-08-25,2731,0.183,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2012-08-25,2840,0.325,Sacramento-El Camino and Watt,24,Parts Per Million ( ppm ) 
2012-08-25,3738,0.252,Sacramento-Goldenland Court,23,Parts Per Million ( ppm ) 
2012-08-26,3658,0.787,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2012-08-26,2923,0.100,Barstow,23,Parts Per Million ( ppm ) 
2012-08-26,3500,0.170,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2012-08-26,3138,0.395,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2012-08-26,3779,0.371,Eureka-Humboldt Hill                    ,23,Parts Per Million ( ppm ) 
2012-08-26,3489,0.204,Salinas-High School,23,Parts Per Million ( ppm ) 
2012-08-26,2484,0.289,Azusa,22,Parts Per Million ( ppm ) 
2012-08-26,2492,0.168,Burbank-W Palm Avenue,22,Parts Per Million ( ppm ) 
2012-08-26,3743,0.312,Compton-700 North Bullis Road,23,Parts Per Million ( ppm ) 
2012-08-26,2849,0.301,Glendora-Laurel,22,Parts Per Million ( ppm ) 
2012-08-26,2899,0.417,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2012-08-26,3683,0.264,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2012-08-26,2160,0.338,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2012-08-26,3693,0.182,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2012-08-26,2898,0.258,Pomona,22,Parts Per Million ( ppm ) 
2012-08-26,2420,0.099,Reseda,23,Parts Per Million ( ppm ) 
2012-08-26,3502,0.131,Santa Clarita,23,Parts Per Million ( ppm ) 
2012-08-26,2494,0.175,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2012-08-26,3674,0.290,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2012-08-26,2937,0.047,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2012-08-26,2249,0.248,La Habra,22,Parts Per Million ( ppm ) 
2012-08-26,3265,0.282,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2012-08-26,2943,0.121,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2012-08-26,3702,0.136,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2012-08-26,2333,0.288,Riverside-Magnolia,23,Parts Per Million ( ppm ) 
2012-08-26,2596,0.274,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2012-08-26,2266,0.123,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2012-08-26,2485,0.375,Upland,23,Parts Per Million ( ppm ) 
2012-08-26,3153,0.235,Goleta-Fairview,23,Parts Per Million ( ppm ) 
